Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,DET-402-G-1,1,Buzzer,
C1,0603,1,100nF,
C2,0603,1,10uF,
C3,0603,1,10nF,
C4,0603,1,10uF,
D1,0603,1,LED,
D2,D_SMA,1,1N4148W,
F1,0603,1,500mA,
J1,PinHeader_1x03_P2.54mm_Vertical,1,SERVO,
"J2, J6",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06,
"J3, J7",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
J4,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08,
J5,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
Q1,SOT-23,1,S8050,
R1,0603,1,5K1,
R2,0603,1,10K,
R3,0603,1,1K,
R4,0603,1,10K,
SW1,SPDT_MTS_102,1,SW_SPDT,
"SW2, SW3, SW4",BUTTON_3x4,3,3x4,
U1,SOT-23-5,1,RT9013-33GB,
U2,MSP-EXP432P401R,1,MSP-EXP432P401R,
