Designator,Mid X,Mid Y,Rotation,Layer
BZ1,124.2822,-91.7402,180.0,top
C1,109.474,-92.3752,180.0,top
C2,112.6744,-92.3752,0.0,top
C3,108.6866,-89.5304,270.0,top
C4,119.9642,-89.5558,270.0,top
D1,112.14,-85.0825,270.0,top
D2,117.221,-85.0346,0.0,top
F1,161.1884,-76.6526,0.0,top
J1,171.4246,-76.6526,270.0,top
J2,107.188,-126.7922,90.0,top
J3,176.4946,-85.8474,270.0,top
J4,169.9006,-93.6706,90.0,top
J5,161.1884,-85.8474,270.0,top
J6,190.626999,-76.6526,270.0,top
J7,190.627,-85.8474,270.0,top
Q1,124.3838,-87.6,0.0,top
R1,109.73,-85.045,270.0,top
R2,115.8494,-89.5304,270.0,top
R3,117.9068,-89.5304,90.0,top
R4,124.3076,-84.2472,180.0,top
SW1,113.7,-78.65,180.0,top
SW2,167.64,-125.0904,0.0,top
SW3,190.0936,-125.065,0.0,top
SW4,178.7906,-125.0904,0.0,top
U1,112.014,-89.4796,180.0,top
U2,120.802419,-100.88714,90.0,bottom
